age,gender,marital_status,education,monthly_salary,employment_type,years_of_employment,company_type,house_type,monthly_rent,family_size,school_fees,college_fees,travel_expenses,groceries_utilities,other_monthly_expenses,existing_loans,current_emi_amount,credit_score,bank_balance,emergency_fund,emi_scenario,requested_amount,requested_tenure,emi_eligibility,max_monthly_emi
38,Male,Married,Professional,86100,Private,5,Startup,Own,0,4,0,0,10200,19400,6000.0,No,0,650,672100,324200,Education,306000,16,Eligible,27775
58,Female,Married,High School,66800,Private,2,Mid-size,Own,0,5,11400,0,6200,11900,7900.0,No,0,685,440900,178100,Vehicle,304000,83,Eligible,16170
32,Male,Married,Graduate,11837,Private,1,Large Indian,Rented,11700,4,0,0,3800,14000,3400.0,No,0,695,129600,70900,E-commerce Shopping,30000,12,Eligible,13440
38,Male,Single,Graduate,55200,Self-employed,1,Mid-size,Own,0,1,0,0,7100,8600,9900.0,No,0,570,132700,61000,E-commerce Shopping,39000,14,Eligible,10656
38,Male,Married,Post Graduate,148600,Private,16,MNC,Rented,28300,4,2400,17400,11000,22500,25300.0,No,0,717,1138000,579000,Vehicle,1055000,80,Eligible,22935
38,Female,Single,Professional,53700,Government,1,Large Indian,Rented,18300,3,0,0,7100,11200,6300.0,No,0,702,170900,38500,E-commerce Shopping,24000,14,Eligible,5400
48,Male,Married,Professional,89500,Self-employed,17,Large Indian,Rented,16900,2,0,0,9700,26000,11600.0,No,0,718,641800,314500,Education,110000,45,Eligible,12523
32,Male,Single,Post Graduate,158100,Government,10,MNC,Own,0,1,0,0,19400,36400,21700.0,No,0,737,946000,304200,Education,137000,42,Eligible,44330
38,Female,Married,Graduate,103200,Private,3,Startup,Own,0,2,0,0,8400,16700,7400.0,No,0,670,726200,248800,Personal Loan,892000,39,Eligible,38885
27,Female,Single,Graduate,99100,Self-employed,2,Large Indian,Own,0,1,0,0,8200,24200,5600.0,No,0,727,378500,127100,Personal Loan,955000,55,Eligible,27495
38,Male,Married,Graduate,66300,Private,7,MNC,Own,0,4,0,0,6900,15300,4000.0,No,0,628,489600,104900,Home Appliances,165000,15,Eligible,17644
58,Male,Married,Professional,103400,Government,8,Large Indian,Own,0,4,5900,17600,13700,23400,12600.0,Yes,14300,686,746500,311700,Home Appliances,45000,35,Eligible,6733
32,Male,Married,Post Graduate,98800,Government,1,Mid-size,Own,0,2,0,5400,5300,17400,14500.0,No,0,690,671300,389300,Vehicle,305000,35,Eligible,30910
58,Male,Married,Graduate,43600,Private,1,Large Indian,Own,0,3,0,0,6000,7500,3100.0,No,0,669,207500,119400,E-commerce Shopping,38000,14,Eligible,13500
