age,gender,marital_status,education,monthly_salary,employment_type,years_of_employment,company_type,house_type,monthly_rent,family_size,school_fees,college_fees,travel_expenses,groceries_utilities,other_monthly_expenses,existing_loans,current_emi_amount,credit_score,bank_balance,emergency_fund,emi_scenario,requested_amount,requested_tenure,emi_eligibility,max_monthly_emi
58,Male,Married,Graduate,28700,Government,24,Mid-size,Own,0,3,9700,0,1700,4600,4700,No,0,701,85800,44600,Home Appliances,127000,20,Not_Eligible,4400
32,Male,Married,Post Graduate,97700,Government,5,Large Indian,Own,0,3,0,0,7600,22000,16200,Yes,12400,752,71300,37600,E-commerce Shopping,61000,20,Eligible,14599
38,Male,Married,Graduate,48000,Private,4,Mid-size,Own,0,4,14000,11900,6200,10200,6000,No,0,765,122500,69600,Vehicle,441000,66,Not_Eligible,500
48,Female,Single,Post Graduate,97800,Government,3,Startup,Own,0,2,0,9900,11700,18300,10300,No,0,734,485300,107400,Home Appliances,156000,21,Eligible,26180
32,Female,Married,Graduate,27100,Private,7,Large Indian,Rented,8600,3,10100,0,4000,5000,4600,No,0,796,108000,39900,Personal Loan,904000,33,Not_Eligible,500
38,Male,Married,Graduate,68800,Government,1,Large Indian,Own,0,3,0,0,3500,18800,5200,No,0,812,415300,200900,E-commerce Shopping,142000,19,Eligible,27258
38,Female,Married,Graduate,68900,Government,4,MNC,Own,0,4,0,0,4600,18800,10700,Yes,17300,656,299200,95900,Home Appliances,211000,18,Not_Eligible,6737
32,Female,Married,Professional,75500,Private,10,Mid-size,Rented,13200,4,0,0,4900,18900,10600,No,0,651,554600,139600,E-commerce Shopping,90000,18,Eligible,15345
27,Female,Married,Professional,33900,Self-employed,1,Startup,Own,0,4,2100,5300,2100,9500,3400,No,0,731,229700,92000,Vehicle,296000,84,Eligible,5692
32,Male,Married,Professional,41100,Self-employed,1,Large Indian,Rented,7100,5,0,0,5800,7300,3300,No,0,733,286000,154500,E-commerce Shopping,121000,17,Eligible,8712
58,Female,Married,Graduate,73400,Private,36,Mid-size,Own,0,4,6100,0,9800,13400,5300,Yes,19400,653,334100,111700,Personal Loan,738000,15,Not_Eligible,6790
38,Male,Married,Graduate,58000,Private,1,MNC,Own,0,2,0,0,4700,10000,6000,No,0,708,379600,123800,Education,411000,42,Eligible,20515
38,Female,Married,High School,26000,Private,0,Mid-size,Rented,4500,3,14100,0,2300,6900,4200,Yes,3300,540,140700,63600,Vehicle,749000,67,Not_Eligible,500
48,Male,Married,High School,18900,Private,17,MNC,Rented,4800,3,0,14500,1100,3800,1900,No,0,763,124400,36000,E-commerce Shopping,52000,14,Not_Eligible,500
58,Male,Married,Professional,87100,Government,29,Large Indian,Own,0,4,4900,0,12100,21800,12300,No,0,850,564300,194500,Home Appliances,285000,26,Eligible,26136
38,Male,Married,Post Graduate,78300,Private,2,Mid-size,Rented,21700,2,9100,0,6400,14200,11300,No,0,800,570300,123700,Personal Loan,688000,25,Not_Eligible,10296
58,Male,Married,Post Graduate,72200,Private,6,Mid-size,Own,0,4,11600,17100,7600,19400,13100,Yes,8100,722,356100,143000,Home Appliances,189000,27,Not_Eligible,500
38,Male,Married,Post Graduate,63100,Private,7,Mid-size,Own,0,3,8900,0,4300,13400,9400,No,0,791,335500,115400,E-commerce Shopping,98000,14,Eligible,16260
38,Male,Married,Post Graduate,74400,Private,11,Large Indian,Own,0,2,0,0,5200,15700,12100,No,0,815,479900,110200,Home Appliances,175000,7,Eligible,27324
32,Male,Single,Graduate,74400,Government,7,Mid-size,Own,0,1,0,0,8300,20000,7300,No,0,697,346300,88600,E-commerce Shopping,166000,14,Eligible,21340
48,Male,Married,Professional,81200,Private,2,Large Indian,Rented,18820,3,8600,0,6200,16300,12000,Yes,19900,682,337300,190400,Home Appliances,36000,20,Eligible,6370
48,Male,Married,Post Graduate,104000,Private,2,Large Indian,Own,0,2,0,0,9000,20900,17000,Yes,19300,720,317300,84800,Home Appliances,150000,33,Eligible,13230
